Date;Description;Debit;Credit
02/03/2026;NO FRILLS 2277 NEWTOWN ON;202,50;
03/03/2026;LOBLAWS #1043 NEWTOWN ON;115,61;
05/03/2026;COSTCO WHSL #921 NEWTOWN ON;195,63;
05/03/2026;SHOPPERS DRUG MART #0771;38,25;
05/03/2026;THE DAILY GRIND CAFE;13,64;
05/03/2026;UBER EATS TORONTO ON;35,01;
06/03/2026;FIDO MOBILE;65,00;
07/03/2026;LOBLAWS #1043 NEWTOWN ON;58,78;
07/03/2026;SHELL C21188;48,48;
09/03/2026;NETFLIX.COM;17,99;
11/03/2026;MAPLE LEAF RESTAURANT;46,94;
11/03/2026;SPOTIFY;11,99;
13/03/2026;PETRO-CANADA 2210;65,68;
18/03/2026;LOBLAWS #1043 NEWTOWN ON;142,94;
22/03/2026;NO FRILLS 2277 NEWTOWN ON;99,45;
22/03/2026;UBER EATS TORONTO ON;60,43;
23/03/2026;PAYMENT - THANK YOU;;1436,72
26/03/2026;SHELL C21188;65,26;
01/04/2026;LOBLAWS #1043 NEWTOWN ON;125,79;
02/04/2026;UBER EATS TORONTO ON;44,60;
06/04/2026;FIDO MOBILE;65,00;
06/04/2026;LOBLAWS #1043 NEWTOWN ON;139,70;
06/04/2026;TIM HORTONS #4410;44,65;
08/04/2026;TIM HORTONS #4410;39,10;
09/04/2026;NETFLIX.COM;17,99;
11/04/2026;LOBLAWS #1043 NEWTOWN ON;123,58;
11/04/2026;NO FRILLS 2277 NEWTOWN ON;90,23;
11/04/2026;SPOTIFY;11,99;
14/04/2026;THE DAILY GRIND CAFE;34,23;
15/04/2026;NO FRILLS 2277 NEWTOWN ON;144,40;
18/04/2026;SHOPPERS DRUG MART #0771;29,37;
21/04/2026;COSTCO WHSL #921 NEWTOWN ON;198,74;
22/04/2026;PETRO-CANADA 2210;52,39;
23/04/2026;PAYMENT - THANK YOU;;1841,33
25/04/2026;PETRO-CANADA 2210;64,45;
27/04/2026;PETRO-CANADA 2210;63,36;
01/05/2026;UNIQLO CANADA ONLINE;96,55;
03/05/2026;MAPLE LEAF RESTAURANT;44,51;
06/05/2026;COSTCO WHSL #921 NEWTOWN ON;68,05;
06/05/2026;FIDO MOBILE;65,00;
06/05/2026;NO FRILLS 2277 NEWTOWN ON;183,23;
09/05/2026;NETFLIX.COM;17,99;
10/05/2026;MAPLE LEAF RESTAURANT;18,73;
11/05/2026;SPOTIFY;11,99;
12/05/2026;PETRO-CANADA 2210;59,96;
13/05/2026;COSTCO WHSL #921 NEWTOWN ON;111,16;
14/05/2026;LOBLAWS #1043 NEWTOWN ON;103,91;
14/05/2026;PETRO-CANADA 2210;80,68;
15/05/2026;COSTCO WHSL #921 NEWTOWN ON;209,87;
17/05/2026;MAPLE LEAF RESTAURANT;33,45;
17/05/2026;THE DAILY GRIND CAFE;53,89;
22/05/2026;PETRO-CANADA 2210;51,73;
23/05/2026;PAYMENT - THANK YOU;;1775,62
24/05/2026;SHOPPERS DRUG MART #0771;32,58;
28/05/2026;UBER EATS TORONTO ON;21,72;
01/06/2026;SHELL C21188;52,18;
01/06/2026;TIM HORTONS #4410;14,30;
02/06/2026;COSTCO WHSL #921 NEWTOWN ON;162,25;
04/06/2026;COSTCO WHSL #921 NEWTOWN ON;54,59;
06/06/2026;FIDO MOBILE;65,00;
06/06/2026;NO FRILLS 2277 NEWTOWN ON;146,37;
07/06/2026;NO FRILLS 2277 NEWTOWN ON;88,69;
09/06/2026;NETFLIX.COM;17,99;
09/06/2026;NO FRILLS 2277 NEWTOWN ON;133,59;
09/06/2026;TIM HORTONS #4410;9,76;
10/06/2026;THE DAILY GRIND CAFE;17,88;
11/06/2026;SPOTIFY;11,99;
12/06/2026;SHOPPERS DRUG MART #0771;49,60;
14/06/2026;LOBLAWS #1043 NEWTOWN ON;56,24;
15/06/2026;PETRO-CANADA 2210;79,44;
17/06/2026;COSTCO WHSL #921 NEWTOWN ON;85,61;
22/06/2026;SHELL C21188;58,71;
23/06/2026;PAYMENT - THANK YOU;;1697,03
28/06/2026;THE DAILY GRIND CAFE;31,80;
01/07/2026;THE DAILY GRIND CAFE;19,86;
02/07/2026;TIM HORTONS #4410;17,92;
04/07/2026;TIM HORTONS #4410;11,05;
06/07/2026;FIDO MOBILE;65,00;
09/07/2026;COSTCO WHSL #921 NEWTOWN ON;88,20;
09/07/2026;NETFLIX.COM;17,99;
10/07/2026;NO FRILLS 2277 NEWTOWN ON;94,85;
11/07/2026;SPOTIFY;11,99;
13/07/2026;SHELL C21188;56,14;
14/07/2026;THE DAILY GRIND CAFE;41,21;
15/07/2026;SHOPPERS DRUG MART #0771;52,45;
17/07/2026;THE DAILY GRIND CAFE;41,83;
19/07/2026;PETRO-CANADA 2210;60,10;
21/07/2026;SHELL C21188;48,98;
22/07/2026;LOBLAWS #1043 NEWTOWN ON;156,07;
23/07/2026;COSTCO WHSL #921 NEWTOWN ON;189,09;
23/07/2026;PAYMENT - THANK YOU;;1787,45
25/07/2026;TIM HORTONS #4410;25,33;
27/07/2026;COSTCO WHSL #921 NEWTOWN ON;47,91;
28/07/2026;NO FRILLS 2277 NEWTOWN ON;155,20;
01/08/2026;COSTCO WHSL #921 NEWTOWN ON;131,08;
06/08/2026;FIDO MOBILE;65,00;
08/08/2026;PETRO-CANADA 2210;79,53;
08/08/2026;SHELL C21188;49,98;
08/08/2026;WINNERS #302 NEWTOWN ON;121,00;
09/08/2026;LOBLAWS #1043 NEWTOWN ON;77,26;
09/08/2026;NETFLIX.COM;17,99;
11/08/2026;SPOTIFY;11,99;
14/08/2026;COSTCO WHSL #921 NEWTOWN ON;202,86;
14/08/2026;SHOPPERS DRUG MART #0771;54,78;
17/08/2026;THE DAILY GRIND CAFE;12,09;
18/08/2026;LOBLAWS #1043 NEWTOWN ON;151,79;
18/08/2026;NO FRILLS 2277 NEWTOWN ON;133,44;
18/08/2026;TIM HORTONS #4410;44,76;
21/08/2026;TIM HORTONS #4410;55,18;
23/08/2026;PAYMENT - THANK YOU;;1579,97
27/08/2026;PETRO-CANADA 2210;69,35;
27/08/2026;THE DAILY GRIND CAFE;27,74;
